Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,MS Zaandam,0.0,0.0,3/25/20,0,0,0
,MS Zaandam,0.0,0.0,3/26/20,0,0,0
,MS Zaandam,0.0,0.0,3/27/20,0,0,0
,MS Zaandam,0.0,0.0,3/28/20,2,0,0
,MS Zaandam,0.0,0.0,3/29/20,2,0,0
,MS Zaandam,0.0,0.0,3/30/20,2,0,0
,MS Zaandam,0.0,0.0,3/31/20,2,0,0
,MS Zaandam,0.0,0.0,4/1/20,9,2,0
,MS Zaandam,0.0,0.0,4/2/20,9,2,0
,MS Zaandam,0.0,0.0,4/3/20,9,2,0
,MS Zaandam,0.0,0.0,4/4/20,9,2,0
,MS Zaandam,0.0,0.0,4/5/20,9,2,0
,MS Zaandam,0.0,0.0,4/6/20,9,2,0
,MS Zaandam,0.0,0.0,4/7/20,9,2,0
,MS Zaandam,0.0,0.0,4/8/20,9,2,0
,MS Zaandam,0.0,0.0,4/9/20,9,2,0
,MS Zaandam,0.0,0.0,4/10/20,9,2,0
,MS Zaandam,0.0,0.0,4/11/20,9,2,0
,MS Zaandam,0.0,0.0,4/12/20,9,2,0
,MS Zaandam,0.0,0.0,4/13/20,9,2,0
,MS Zaandam,0.0,0.0,4/14/20,9,2,0
,MS Zaandam,0.0,0.0,4/15/20,9,2,0
,MS Zaandam,0.0,0.0,4/16/20,9,2,0
,MS Zaandam,0.0,0.0,4/17/20,9,2,0
,MS Zaandam,0.0,0.0,4/18/20,9,2,0
,MS Zaandam,0.0,0.0,4/19/20,9,2,0
,MS Zaandam,0.0,0.0,4/20/20,9,2,0
,MS Zaandam,0.0,0.0,4/21/20,9,2,0
,MS Zaandam,0.0,0.0,4/22/20,9,2,0
,MS Zaandam,0.0,0.0,4/23/20,9,2,0
,MS Zaandam,0.0,0.0,4/24/20,9,2,0
,MS Zaandam,0.0,0.0,4/25/20,9,2,0
,MS Zaandam,0.0,0.0,4/26/20,9,2,0
,MS Zaandam,0.0,0.0,4/27/20,9,2,0
,MS Zaandam,0.0,0.0,4/28/20,9,2,0
,MS Zaandam,0.0,0.0,4/29/20,9,2,0
,MS Zaandam,0.0,0.0,4/30/20,9,2,0
,MS Zaandam,0.0,0.0,5/1/20,9,2,0
,MS Zaandam,0.0,0.0,5/2/20,9,2,0
,MS Zaandam,0.0,0.0,5/3/20,9,2,0
,MS Zaandam,0.0,0.0,5/4/20,9,2,0
,MS Zaandam,0.0,0.0,5/5/20,9,2,0
,MS Zaandam,0.0,0.0,5/6/20,9,2,0
,MS Zaandam,0.0,0.0,5/7/20,9,2,0
,MS Zaandam,0.0,0.0,5/8/20,9,2,0
,MS Zaandam,0.0,0.0,5/9/20,9,2,0
,MS Zaandam,0.0,0.0,5/10/20,9,2,0
,MS Zaandam,0.0,0.0,5/11/20,9,2,0
,MS Zaandam,0.0,0.0,5/12/20,9,2,0
,MS Zaandam,0.0,0.0,5/13/20,9,2,0
,MS Zaandam,0.0,0.0,5/14/20,9,2,0
,MS Zaandam,0.0,0.0,5/15/20,9,2,0
,MS Zaandam,0.0,0.0,5/16/20,9,2,0
,MS Zaandam,0.0,0.0,5/17/20,9,2,0
,MS Zaandam,0.0,0.0,5/18/20,9,2,0
,MS Zaandam,0.0,0.0,5/19/20,9,2,0
,MS Zaandam,0.0,0.0,5/20/20,9,2,0
,MS Zaandam,0.0,0.0,5/21/20,9,2,0
,MS Zaandam,0.0,0.0,5/22/20,9,2,0
,MS Zaandam,0.0,0.0,5/23/20,9,2,0
,MS Zaandam,0.0,0.0,5/24/20,9,2,0
,MS Zaandam,0.0,0.0,5/25/20,9,2,0
,MS Zaandam,0.0,0.0,5/26/20,9,2,0
,MS Zaandam,0.0,0.0,5/27/20,9,2,0
,MS Zaandam,0.0,0.0,5/28/20,9,2,0
,MS Zaandam,0.0,0.0,5/29/20,9,2,0
,MS Zaandam,0.0,0.0,5/30/20,9,2,0
,MS Zaandam,0.0,0.0,5/31/20,9,2,0
,MS Zaandam,0.0,0.0,6/1/20,9,2,0
,MS Zaandam,0.0,0.0,6/2/20,9,2,0
,MS Zaandam,0.0,0.0,6/3/20,9,2,0
,MS Zaandam,0.0,0.0,6/4/20,9,2,0
,MS Zaandam,0.0,0.0,6/5/20,9,2,0
,MS Zaandam,0.0,0.0,6/6/20,9,2,0
,MS Zaandam,0.0,0.0,6/7/20,9,2,0
,MS Zaandam,0.0,0.0,6/8/20,9,2,0
,MS Zaandam,0.0,0.0,6/9/20,9,2,0
,MS Zaandam,0.0,0.0,6/10/20,9,2,0
,MS Zaandam,0.0,0.0,6/11/20,9,2,0
,MS Zaandam,0.0,0.0,6/12/20,9,2,0
,MS Zaandam,0.0,0.0,6/13/20,9,2,0
,MS Zaandam,0.0,0.0,6/14/20,9,2,0
,MS Zaandam,0.0,0.0,6/15/20,9,2,0
,MS Zaandam,0.0,0.0,6/16/20,9,2,0
,MS Zaandam,0.0,0.0,6/17/20,9,2,0
,MS Zaandam,0.0,0.0,6/18/20,9,2,0
,MS Zaandam,0.0,0.0,6/19/20,9,2,0
,MS Zaandam,0.0,0.0,6/20/20,9,2,0
,MS Zaandam,0.0,0.0,6/21/20,9,2,0
,MS Zaandam,0.0,0.0,6/22/20,9,2,0
,MS Zaandam,0.0,0.0,6/23/20,9,2,0
,MS Zaandam,0.0,0.0,6/24/20,9,2,0
,MS Zaandam,0.0,0.0,6/25/20,9,2,0
,MS Zaandam,0.0,0.0,6/26/20,9,2,0
,MS Zaandam,0.0,0.0,6/27/20,9,2,0
,MS Zaandam,0.0,0.0,6/28/20,9,2,0
,MS Zaandam,0.0,0.0,6/29/20,9,2,0
,MS Zaandam,0.0,0.0,6/30/20,9,2,0
,MS Zaandam,0.0,0.0,7/1/20,9,2,0
,MS Zaandam,0.0,0.0,7/2/20,9,2,0
,MS Zaandam,0.0,0.0,7/3/20,9,2,0
,MS Zaandam,0.0,0.0,7/4/20,9,2,0
,MS Zaandam,0.0,0.0,7/5/20,9,2,0
,MS Zaandam,0.0,0.0,7/6/20,9,2,0
,MS Zaandam,0.0,0.0,7/7/20,9,2,0
,MS Zaandam,0.0,0.0,7/8/20,9,2,0
,MS Zaandam,0.0,0.0,7/9/20,9,2,0
,MS Zaandam,0.0,0.0,7/10/20,9,2,0
,MS Zaandam,0.0,0.0,7/11/20,9,2,0
,MS Zaandam,0.0,0.0,7/12/20,9,2,0
,MS Zaandam,0.0,0.0,7/13/20,9,2,0
,MS Zaandam,0.0,0.0,7/14/20,9,2,0
,MS Zaandam,0.0,0.0,7/15/20,9,2,0
,MS Zaandam,0.0,0.0,7/16/20,9,2,0
,MS Zaandam,0.0,0.0,7/17/20,9,2,0
,MS Zaandam,0.0,0.0,7/18/20,9,2,0
,MS Zaandam,0.0,0.0,7/19/20,9,2,0
,MS Zaandam,0.0,0.0,7/20/20,9,2,0
,MS Zaandam,0.0,0.0,7/21/20,9,2,0
,MS Zaandam,0.0,0.0,7/22/20,9,2,0
,MS Zaandam,0.0,0.0,7/23/20,9,2,0
,MS Zaandam,0.0,0.0,7/24/20,9,2,0
,MS Zaandam,0.0,0.0,7/25/20,9,2,0
,MS Zaandam,0.0,0.0,7/26/20,9,2,0
,MS Zaandam,0.0,0.0,7/27/20,9,2,0
,MS Zaandam,0.0,0.0,7/28/20,9,2,0
,MS Zaandam,0.0,0.0,7/29/20,9,2,0
,MS Zaandam,0.0,0.0,7/30/20,9,2,0
,MS Zaandam,0.0,0.0,7/31/20,9,2,0
,MS Zaandam,0.0,0.0,8/1/20,9,2,0
,MS Zaandam,0.0,0.0,8/2/20,9,2,0
,MS Zaandam,0.0,0.0,8/3/20,9,2,0
,MS Zaandam,0.0,0.0,8/4/20,9,2,0
,MS Zaandam,0.0,0.0,8/5/20,9,2,0
,MS Zaandam,0.0,0.0,8/6/20,9,2,0
,MS Zaandam,0.0,0.0,8/7/20,9,2,0
,MS Zaandam,0.0,0.0,8/8/20,9,2,0
,MS Zaandam,0.0,0.0,8/9/20,9,2,0
,MS Zaandam,0.0,0.0,8/10/20,9,2,0
,MS Zaandam,0.0,0.0,8/11/20,9,2,0
,MS Zaandam,0.0,0.0,8/12/20,9,2,0
,MS Zaandam,0.0,0.0,8/13/20,9,2,0
,MS Zaandam,0.0,0.0,8/14/20,9,2,0
,MS Zaandam,0.0,0.0,8/15/20,9,2,0
,MS Zaandam,0.0,0.0,8/16/20,9,2,0
,MS Zaandam,0.0,0.0,8/17/20,9,2,0
,MS Zaandam,0.0,0.0,8/18/20,9,2,0
,MS Zaandam,0.0,0.0,8/19/20,9,2,0
,MS Zaandam,0.0,0.0,8/20/20,9,2,0
,MS Zaandam,0.0,0.0,8/21/20,9,2,0
,MS Zaandam,0.0,0.0,8/22/20,9,2,0
,MS Zaandam,0.0,0.0,8/23/20,9,2,0
,MS Zaandam,0.0,0.0,8/24/20,9,2,0
,MS Zaandam,0.0,0.0,8/25/20,9,2,0
,MS Zaandam,0.0,0.0,8/26/20,9,2,0
,MS Zaandam,0.0,0.0,8/27/20,9,2,0
,MS Zaandam,0.0,0.0,8/28/20,9,2,0
,MS Zaandam,0.0,0.0,8/29/20,9,2,0
,MS Zaandam,0.0,0.0,8/30/20,9,2,0
,MS Zaandam,0.0,0.0,8/31/20,9,2,0
,MS Zaandam,0.0,0.0,9/1/20,9,2,0
,MS Zaandam,0.0,0.0,9/2/20,9,2,0
,MS Zaandam,0.0,0.0,9/3/20,9,2,0
,MS Zaandam,0.0,0.0,9/4/20,9,2,0
,MS Zaandam,0.0,0.0,9/5/20,9,2,0
,MS Zaandam,0.0,0.0,9/6/20,9,2,0
,MS Zaandam,0.0,0.0,9/7/20,9,2,0
,MS Zaandam,0.0,0.0,9/8/20,9,2,0
,MS Zaandam,0.0,0.0,9/9/20,9,2,0
,MS Zaandam,0.0,0.0,9/10/20,9,2,0
,MS Zaandam,0.0,0.0,9/11/20,9,2,0
,MS Zaandam,0.0,0.0,9/12/20,9,2,0
,MS Zaandam,0.0,0.0,9/13/20,9,2,0
,MS Zaandam,0.0,0.0,9/14/20,9,2,0
,MS Zaandam,0.0,0.0,9/15/20,9,2,0
,MS Zaandam,0.0,0.0,9/16/20,9,2,0
,MS Zaandam,0.0,0.0,9/17/20,9,2,0
,MS Zaandam,0.0,0.0,9/18/20,9,2,0
,MS Zaandam,0.0,0.0,9/19/20,9,2,0
,MS Zaandam,0.0,0.0,9/20/20,9,2,0
,MS Zaandam,0.0,0.0,9/21/20,9,2,0
,MS Zaandam,0.0,0.0,9/22/20,9,2,0
,MS Zaandam,0.0,0.0,9/23/20,9,2,0
